vid_name,vid_name_long,vid_location,year,river,transect,location,frame_rate,total_frames,video_length,number_of_splits,rand_order,EDA,notes
2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_2_Camera_18,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 2 Camera 18_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 2 Camera 18/,2016,Sandy,Transect 2,Location 2,50,229486,76.49533333,20,0.892833241,no,
2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_2_Camera_4,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 2 Camera 4_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 2 Camera 4/,2016,Mudginberri,Transect 5,Location 2,50,229083,76.361,20,0.890737942,no,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_2_Camera_7,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 2 Camera 7_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 2 Camera 7/,2016,Sandy,Transect 4,Location 2,50,265748,88.58266667,23,0.890298201,no,
2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_1_Camera_8,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 1 Camera 8_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 1 Camera 8/,2016,Mudginberri,Transect 4,Location 1,50,233648,77.88266667,20,0.888724914,no,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_5_Camera_4,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 5 Camera 4_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 5 Camera 4/,2016,Sandy,Transect 6,Location 5,50,251798,83.93266667,21,0.880999441,no,
2018_Mudginberri_Billabong_2018_Transect_6_Location_9,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 6_Location 9_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 6/Location 9/,2018,Mudginberri,Transect 6,Location 9,50,243020,81.00666667,21,0.873576639,no,
2018_Mudginberri_Billabong_2018_Transect_4_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 4_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 4/Location 2/,2018,Mudginberri,Transect 4,Location 2,50,207829,69.27633333,18,0.873138547,no,
2016_Channels_2016_Mudginberri_Videos_Transect_6_(bad_resolution)_Location_8_Camera_14,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 6 (bad resolution)_Location 8 Camera 14_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 6 (bad resolution)/Location 8 Camera 14/,2016,Mudginberri,Transect 6,Location 8,50,204138,68.046,18,0.8704014,no,bad resolution
2017_Mudginberri_Billabong_2017_Transect_4_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 4_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 4/Location 2/,2017,Mudginberri,Transect 4,Location 2,50,229047,76.349,20,0.866616499,no,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_10_Camera_12,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 10 Camera 12_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 10 Camera 12/,2016,Sandy,Transect 4,Location 10,50,252377,84.12566667,22,0.864501922,no,
