"","...1","Video_name","Class","measure","value","vid_name_long","vid_location","year","river","transect","location","frame_rate","total_frames","video_length","number_of_splits","rand_order","EDA","notes","Mobility","Schooling","Schooling_3_groups","Mobility_3_groups","...6","...7","...8","value_tol"
"32",1335,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_10_Camera_16","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 10 Camera 16_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 10 Camera 16/","2016","Mudginberri","Transect 5","Location 10",50,210587,70.19566667,18,0.638775232,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"33",1415,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_2_Camera_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 2 Camera 4_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 2 Camera 4/","2016","Mudginberri","Transect 5","Location 2",50,229083,76.361,20,0.890737942,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"34",1455,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_3_Camera_20","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 3 Camera 20_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 3 Camera 20/","2016","Mudginberri","Transect 5","Location 3",50,218256,72.752,19,0.840817909,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"35",1535,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_5_Camera_11","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 5 Camera 11_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 5 Camera 11/","2016","Mudginberri","Transect 5","Location 5",50,232998,77.666,20,0.805746438,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"36",1575,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_6_Camera_14","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 6 Camera 14_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 6 Camera 14/","2016","Mudginberri","Transect 5","Location 6",50,215199,71.733,18,0.403855589,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"37",1615,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_7_Camera_17","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 7 Camera 17_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 7 Camera 17/","2016","Mudginberri","Transect 5","Location 7",50,225209,75.06966667,19,0.676140923,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"38",1655,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_8_Camera_15","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 8 Camera 15_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 8 Camera 15/","2016","Mudginberri","Transect 5","Location 8",50,212746,70.91533333,18,0.761155618,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"39",1695,"2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_9_Camera_18","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 9 Camera 18_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 9 Camera 18/","2016","Mudginberri","Transect 5","Location 9",50,205273,68.42433333,18,0.243386295,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"40",1735,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_10_Camera_C1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 10 Camera C1_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 10 Camera C1/","2016","Sandy","Transect 1","Location 10",50,208588,69.52933333,18,0.681321837,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"41",1775,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_1_Camera_20","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 1 Camera 20_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 1 Camera 20/","2016","Sandy","Transect 1","Location 1",50,215649,71.883,18,0.012723609,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"42",1815,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_2_Camera_18","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 2 Camera 18_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 2 Camera 18/","2016","Sandy","Transect 1","Location 2",50,219675,73.225,19,0.170086883,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"43",1855,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_3_Camera_21","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 3 Camera 21_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 3 Camera 21/","2016","Sandy","Transect 1","Location 3",50,212240,70.74666667,18,0.192368587,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"44",1895,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_4_Camera_14","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 4 Camera 14_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 4 Camera 14/","2016","Sandy","Transect 1","Location 4",50,225273,75.091,19,0.472363118,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"45",1975,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_6_Camera_17","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 6 Camera 17_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 6 Camera 17/","2016","Sandy","Transect 1","Location 6",50,208983,69.661,18,0.023331214,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"46",2015,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_7_Camera_22","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 7 Camera 22_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 7 Camera 22/","2016","Sandy","Transect 1","Location 7",50,211192,70.39733333,18,0.142888592,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"47",2055,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_8_Camera_15","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 8 Camera 15_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 8 Camera 15/","2016","Sandy","Transect 1","Location 8",50,219206,73.06866667,19,0.203589498,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"48",2095,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_1_Location_9_Camera_16","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 1_Location 9 Camera 16_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 1/Location 9 Camera 16/","2016","Sandy","Transect 1","Location 9",50,227180,75.72666667,19,0.621063617,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"49",2135,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_10_Camera_C1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 10 Camera C1_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 10 Camera C1/","2016","Sandy","Transect 2","Location 10",25,106184,70.78933333,18,0.247715598,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"50",2175,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_1_Camera_20","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 1 Camera 20_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 1 Camera 20/","2016","Sandy","Transect 2","Location 1",50,250241,83.41366667,21,0.736288612,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
